titulo,titulo_original,isbn,segmento_especifico,idioma,encadernacao,formato,paginas,colecao,ano_de_edicao,ano_copyright,edicao,coeditora,outras_informacoes,autores,editora,categoria,sinopse,link
O livro dos ressignificados,NA,9788584390816,NA,Português,Brochura,14 x 21,216,NA,2017,2017,1ª,NA,NA,Akapoeta,Paralela,Poesia Brasileira,"Antes aprisionadas na formalidade dos dicionários, palavras como “girassol”, “Deus”, “sonho”, “tatuagem”, “cafuné” e muitas outras são libertadas por João Doederlein — que assina com o pseudônimo Akapoeta — neste seu primeiro livro. Elas são repensadas a partir das experiências pessoais do autor, de vinte anos, e de sua geração, mesclando romantismo bem resolvido, paixão, isolamento e um dia a dia que respira tecnologia e cultura pop.Combinando textos que se tornaram sucesso nas redes sociais com material inédito, o autor acha novos significados para os signos do zodíaco, para clichês indispensáveis como “paixão” e “saudade” e para as atualíssimas “match” e “crush”. Uma história de amor correspondido entre um jovem e sua musa — a escrita.",https://www.travessa.com.br/o-livro-dos-ressignificados-1-ed-2017/artigo/14388fb1-a7dc-40a8-b5fd-9208fda3fbc2
O medico e o monstro,NA,9788508082377,NA,Português,NA,NA,NA,O tesouro dos classicos,NA,NA,NA,NA,NA,Robert Louis Stevenson,Ática,Infantil,Sinopse não disponível.,https://www.travessa.com.br/o-medico-e-o-monstro/artigo/62e571aa-eb7a-4192-8e5d-737542e24179
O medo e o mar,NA,9788535914689,Literatura,Português,Brochura,14 x 21,144,NA,2009,2009,1ª,NA,NA,Maria Camargo,Seguinte,Juvenil,"Dois anos após a morte da mulher num acidente no mar, Rodrigo e os filhos, Stela e Miguel, voltam a Paraty, no litoral do Rio de Janeiro. Tudo na casa está como da última vez: baralho amontoado na mesa, panelas no escorredor e um frasco de repelente caído no chão. Disposto a seguir em frente, Rodrigo retoma suas aulas de mergulho e contrata a bela e misteriosa Bárbara como babá. Stela, inconformada com a morte da mãe, não entende por que voltar ao lugar do trágico acidente. Miguel, agora com oito anos, pouco se lembra da figura materna, mas carrega no pescoço uma chave que foi encontrada com ela na baía de Paraty.O que seria uma reconciliação com o passado ganha contornos aventurescos graças a uma sucessão de acontecimentosinexplicáveis. O menino vê pessoas que ninguém mais enxerga. Bárbara faz biscoitos de canela idênticos aos da mãe.Nas ruas da cidade uma velha observa os irmãos de modo enigmático. E a chave emite uma luz esbranquiçada.O que os dois jovens heróis irão descobrir é que há muita gente interessada no retorno da família, em especial nachave, que guarda um segredo de duzentos anos. O medo e o mar é um livro de aventura em que os protagonistas devemsuperar os próprios temores para conseguir desvendar o mistério por trás desses estranhos acontecimentos.",https://www.travessa.com.br/o-medo-e-o-mar-1-ed-2009/artigo/bc8ea036-87f4-435b-b6ef-3d640a0b40a5
O menino do pijama listrado (ediçao comemorativa),The boy in the tripped pyjamas,9788555340482,NA,Português,Capa dura,"16,5 x 23,7",326,NA,2017,2016,1ª,NA,NA,John Boyne,Seguinte,Juvenil,"Bruno tem nove anos e não sabe nada sobre o Holocausto e a Solução Final contra os judeus. Também não faz ideia que seu país está em guerra com boa parte da Europa, e muito menos que sua família está envolvida no conflito. Na verdade, Bruno sabe apenas que foi obrigado a abandonar a espaçosa casa em que vivia em Berlim e a mudar-se para uma região desolada, onde ele não tem ninguém para brincar nem nada para fazer. Da janela do quarto, Bruno pode ver uma cerca, e para além dela centenas de pessoas de pijama, que sempre o deixam com frio na barriga.Em uma de suas andanças Bruno conhece Shmuel, um garoto do outro lado da cerca que curiosamente nasceu no mesmo dia que ele. Conforme a amizade dos dois se intensifica, Bruno vai aos poucos tentando elucidar o mistério que ronda as atividades de seu pai. O menino do pijama listrado é uma fábula sobre amizade em tempos de guerra, e sobre o que acontece quando a inocência é colocada diante de um monstro terrível e inimaginável.Esta edição de luxo, que comemora os dez anos de lançamento da obra, traz uma introdução inédita do autor e ilustrações do premiado artista Oliver Jeffers.""Um livro maravilhoso."" - The Guardian""Intenso e perturbador [...], pode se tornar uma introdução tão memorável ao tema como O diário de Anne Frank foi em sua época."" - USA Today""Um livro tão simples e tão bem escrito que beira a perfeição."" - The Irish Independent",https://www.travessa.com.br/o-menino-do-pijama-listrado-edicao-comemorativa/artigo/319858b4-4fce-4291-8798-95d092ba3f12
O menino que caiu no buraco,NA,9788598457215,NA,Português,Brochura,12 x 19,112,Barco a vapor - serie laranja - vol. 2,2004,2004,1ª,NA,NA,Ivan Jaf,Edições SM,Infantil,"Um garoto de 13 anos passa por dificuldades emocionais porque seu pai está triste e não tem forças para levantar da cama há um ano. Certo dia, a caminho da escola, ele cai num buraco fundo e escuro. Apavorado, tenta descobrir uma forma de sair de lá. Enquanto isso, a noite chega, e ele precisa aprender a lidar com seus medos. A história aborda temas como depressão, solidão e desafios do crescimento.",https://www.travessa.com.br/o-menino-que-caiu-no-buraco-1-ed-2004/artigo/d2152c31-c781-44cf-96a6-6d4732c0270a
O meu pe de laranja lima,NA,9788506086896,NA,Português,Brochura,"13,6 x 21 x 1,4",232,NA,2019,2019,4ª,NA,NA,Jose Mauro de Vasconcelos,Melhoramentos,Juvenil,"Um clássico da literatura brasileira, com adaptações para a televisão, o cinema e o teatro, O Meu Pé de Laranja Lima é desses livros que marcam época. Lançado em 1968, trata-se de uma história fortemente autobiográfica, que demonstra a mão de um escritor experiente, ciente do efeito que pode provocar nos leitores com suas cenas e a composição de seus personagens.O protagonista Zezé tem 6 anos e mora num bairro modesto, na zona norte do Rio de Janeiro. O pai está desempregado, e a família passa por dificuldades. O menino vive aprontando, sem jamais se conformar com as limitações que o mundo lhe impõe – viaja com sua imaginação, brinca, explora, descobre, responde aos adultos, mete-se em confusões, causa pequenos desastres.As surras que lhe aplicam seu pai e sua irmã mais velha são seu suplício, a ponto de fazê-lo querer desistir da vida. No entanto, o apego ao mundo que criou felizmente sempre fala mais alto. Só não há remédio para a dor, para a perda. E Zezé muito cedo descobrirá isso.A alegria e a tristeza não poderiam estar mais bem combinadas do que nestas páginas. E isso, se não explica, justifica a imensa popularidade alcançada pelo livro.",https://www.travessa.com.br/o-meu-pe-de-laranja-lima-4-ed-2019/artigo/74ebc0f6-bd61-48d4-b94f-5f5f15ef2a48
O pavao misterioso,NA,9788574068299,NA,Português,Brochura,"15,5 x 22,5 x 0,6",64,NA,2018,NA,1ª,NA,NA,"Assis Lima, Ronaldo Correia de Brito",Companhia das Letras,Infantil,"Neste livro que mistura prosa e cordel, Ronaldo Correia de Brito e Assis Lima adaptam para as crianças um dos textos mais famosos da literatura de cordel, conquistando novos leitores com essa aventura ilustrada por Andrés Sandoval.Antônio é um vendedor de cordéis, mas sua carreira não está num momento muito animador, uma vez que muitas pessoas não conhecem mais a arte do cordel. Mas o vendedor fica muito empolgado quando um menino vê sua barraca de encadernações e lhe pede para contar O romance do pavão misterioso, um dos famosos cordéis que ele vende. E é assim que mergulhamos na história de dois irmãos que, depois de receberem uma grande herança de família, passam a se aventurar pelo mundo.Luís, o irmão mais novo, resolve viajar por aí e, ao voltar para sua casa na Turquia, traz de presente para João, o irmão mais velho, o retrato de Creusa, a moça mais linda que já viu! João se encanta na hora e, ao saber que a pobre condessa vive presa em uma torre, resolve libertá-la. Mas será que ele vai conseguir atravessar mares perigosos e enfrentar a guarda do Conde? O único jeito de descobrir é embarcar com ele no pavão misterioso, uma máquina de voar pra lá de diferente, e partir nessa viagem repleta de cordéis em meio à prosa. É hora de alçar voo!",https://www.travessa.com.br/o-pavao-misterioso-1-ed-2018/artigo/6b15324d-e733-45eb-aa83-9fec41ee6a48
O principe medroso e outros contos africanos,Un meravellos llibre de contes de l'africa per a nens i nenes,9788535915402,Literatura,Português,Brochura,16 x 23,136,NA,2009,2005,1ª,NA,NA,Anna Soler-Pont,Seguinte,Juvenil,"Na África, desde sempre os contos e as lendas passaram de geração a geração, sem serem escritos. Os griots (espécie de músico e poeta da África Ocidental, que conserva e transmite a memória oral) os contavam, os pais e os avós decoravam-nos e continuavam a transmiti-los aos mais jovens. Ainda hoje, como diz Anna Soler-Pont na apresentação do livro, “contar contos nas praças dos povoados, nos pátios das casas ou embaixo de uma árvore numa escola rural ainda é uma atividade comum em muitos rincões do continente africano. E os contos continuam muito vivos e mutantes. A mesma história pode ter muitas versões, dependendo de onde é contada e de quem a conta!”.Esta coletânea reúne algumas histórias contadas em vários países, da África subsaariana até o sul do continente. Entre elas há desde as mais conhecidas — como fábulas de animais e mitos de origem — até as mais desconhecidas — como as de princesas e príncipes, entre estes o conto que dá título ao livro.O príncipe medroso e outros contos africanos traz ainda um mapa da África e um glossário com o significado dos termos africanos que aparecem destacados no texto.",https://www.travessa.com.br/o-principe-medroso-e-outros-contos-africanos-1-ed-2009/artigo/8d06aa73-9d2f-45f4-b647-81435adfd0be
O tambor africano e outros contos dos paises africanos de lingua portuguesa,NA,9788565746274,NA,Português,Brochura,14 x 21,92,NA,2013,2013,1ª,NA,NA,Susana Ventura,Volta e Meia,Juvenil,"O leitor reconhecerá em “O Tambor Africano e Outros Contos dos Países Africanos de Língua Portuguesa” as tradicionais histórias de animais características do continente africano. Além disso, terá a oportunidade de conhecer príncipes, princesas, curandeiros e juízes que, no contexto dos países africanos de língua portuguesa, protagonizam algumas das emocionantes histórias deste livro. Contos filosóficos, histórias sobre a formação da terra e sobre os anos de dificuldades em que a seca e a fome afetaram a vida das populações africanas e contos de esperteza completam esse panorama literário dos povos de Angola, Cabo Verde, Guiné-Bissau, Moçambique e São Tomé e Príncipe.",https://www.travessa.com.br/o-tambor-africano-e-outros-contos-dos-paises-africanos-de-lingua-portuguesa-1-ed-2013/artigo/c4aaa5f4-4544-4f84-bead-d2dc5d602c0b
Oliver twist,Oliver twist,9788506006993,NA,Português,Brochura,14 x 21,282,Classicos da literatura,2012,2012,1ª,NA,NA,Charles Dickens,Melhoramentos,Juvenil,"Inglaterra, século XIX, Oliver Twist chegou ao mundo numa noite bem fria e nada promissora. A mãe morreu em seguida, e ninguém tinha a menor idéia de quem fosse o pai. Órfão e pobre, o menino passou por todo tipo de privação, até ser vendido a um coveiro.Maltratado, acabou fugindo e foi viver nas ruas de Londres, onde conheceu Fagin, chefe de uma quadrilha de meninos especialista em furto de jóias. É o início de uma história comovente, cheia de desafios e reviravoltas.Obrigado a roubar, Oliver começa a se meter numa grande enrascada, mas nem imagina que, em meio a tamanha confusão, o destino trará à tona os segredos de sua origem. Tradução e adaptação de Sandra Pina. Ilustrações de Kerem Freitas.",https://www.travessa.com.br/oliver-twist-1-ed-2012/artigo/f91eaf9d-7f61-405c-8e49-81a0494f82a3
Onde esta wally? 2: um passeio na historia,Where's wally now?,9788580632323,Jogos e atividades,Português,Brochura,"25,2 x 31,5",28,Onde esta wally? - vol. 2,2015,2015,2ª,NA,NA,Martin Handford,Martins Fontes - Martins,Infantil,"Acompanhe Wally na sua viagem pelo tempo. Procure-o entre os homens das cavernas, antigos egípcios, romanos, vikings, cavaleiros, camponeses da Idade Média, astecas, samurais, piratas, extraterrestres e muitos, muitos outros.",https://www.travessa.com.br/onde-esta-wally-2-um-passeio-na-historia-2-ed-2015/artigo/b392d495-c464-4561-ae4a-b041235c066b
Os bastidores do incrivel planeta terra: como funcionam nosso mundo e seus ecossistemas,NA,9788521219521,NA,Português,Capa dura,"25,5 x 21,5 x 2",128,NA,2020,NA,1ª,NA,NA,Rachel Ignotofsky,Blucher,Juvenil,"Leitores de todas as idades vão se encantar com este fascinante guia para o nosso maravilhoso lar!Este tour ilustrado pelo planeta Terra explora ecossistemas grandes e pequenos, desde recifes, desertos e florestas tropicais até uma única gota d’água. Com ilustrações, mapas e infográficos, o livro explica como o nosso planeta funciona e como podemos protegê-lo. Mostra também a diversidade de seus ecossistemas e seus habitantes, os níveis ecológicos, a importância da biodiversidade, os ciclos da natureza e muito mais!",https://www.travessa.com.br/os-bastidores-do-incrivel-planeta-terra-como-funcionam-nosso-mundo-e-seus-ecossistemas-1-ed-2020/artigo/42c70463-2aa0-49de-9d45-caec122310fb
Os cientistas e seus experimentos de arromba,Scientists and their mind-blowing experiments,9788535911442,Ciencias,Português,Brochura,13 x 20,192,Mortos de fama,2007,2003,1ª,NA,8ª REIMPRESSAO EM 2013,Mike Goldsmith,Cia. das Letras,Juvenil,"A ciência é parte fundamental do nosso dia-a-dia. Já imaginou como seria a vida sem carro, telefone, computador, pasta de dente? E sem algumas mentes brilhantes que, com seus experimentos e descobertas, revolucionaram o mundo? Pois é, mesmo depois de mortos, os cientistas ainda são como caixinhas de surpresas — e os nove que este livro traz são particularmente incríveis!Aristóteles foi talvez o primeiro “pensador-cientista” da história, pois defendia ser preciso observar o Universo para decifrá-lo, Galileu Galilei criou a lei do movimento e desvendou a estrutura do sistema solar, Isaac Newton explicou a gravidade, além de criar o cálculo infinitesimal, as leis do movimento e da ótica, Michel Faraday elaborou as leis da eletricidade e decifrou os campos de força, Charles Darwin desenvolveu a teoria da evolução pela seleção natural.Gregor Mendel foi o pai da genética, Louis Pasteur salvou milhões de vidas com o estudo sobre a transmissão de doenças por meio de germes e a sua cura com as vacinas, Marie Curie descobriu o rádio, o polônio e a radioatividade, e Albert Einstein provou que os átomos existem e que tudo é relativo. Mas é claro que ainda fizeram muito mais. Aqui você vai conhecer a história secreta de cada um deles graças aos seus secretos cadernos de anotações, vai ler as reportagens sobre as suas descobertas que viraram manchete e saber tudo sobre suas fantásticas experiências.",https://www.travessa.com.br/os-cientistas-e-seus-experimentos-de-arromba-1-ed-2007/artigo/bdea1835-dd9e-4d37-92bf-af7efd825a96
Os meninos da rua paulo,A pál utcai fiúk,9788535928464,NA,Português,Brochura,"13,8 x 21",280,NA,2017,2016,1ª,NA,NA,Ferenc Molnar,Companhia das Letras,Juvenil,"Publicada em 1907, a história dos meninos que travam batalhas pela posse do “grund” da rua Paulo, um pedaço de terra cercado onde se brinca à vontade, é conhecida por leitores de todo o mundo. A luta pelo “grund” vai além da vontade de comandar o local: ali, infância e fantasia prevalecem sobre as imposições do mundo adulto. O espírito de aventura, amizade e heroísmo presente nesta obra é capaz de transpor qualquer barreira de tempo, espaço ou idade. Esta nova edição conta com, além dos textos presentes na anterior, uma orelha assinada por Luiz Schwarcz, um posfácio de Michel Laub e um glossário.",https://www.travessa.com.br/os-meninos-da-rua-paulo-1-ed-2017/artigo/b33b0f35-1434-4458-8f6d-15345ef6799a
Os miseraveis,NA,9788508089840,NA,Português,Brochura,"26,3 x 27,3",64,O tesouro dos classicos,2004,NA,1ª,NA,NA,Victor Hugo,Ática,Infantil,"Depois de quase vinte anos preso, Jean Valjean sai às ruas novamente, mas todas as portas parecem estar fechadas para ele. Até conhecer uma pessoa que transforma sua vida e o deixa determinado a se tornar um homem bom. Esta edição de 'Os miseráveis' narra o início da grande obra de Victor Hugo, com ilustrações que reforçam os dramas vividos pelas personagens. No final, o leitor encontra ainda um apêndice sobre o autor e sua época - referências importantes para compreender as agruras da Paris do século XIX e, assim, tornar-se sensível a esta comovente história de solidariedade e esperança.",https://www.travessa.com.br/os-miseraveis-1-ed-2004/artigo/00653e9c-63bf-44f4-8761-88f2ef2f6ffc
Os nove pentes d'africa,NA,9788571604858,NA,Português,Brochura,14 x 21,56,NA,2009,2009,1ª,NA,NA,Cidinha da Silva,Mazza Edições,Infantil,"Em Os nove pentes d’África, estreia de Cidinha da Silva na cena literária juvenil, tradição e contemporaneidade tecem um bordado de poesia e surpresa na tela de uma família negra brasileira. Os pentes herdados pelos nove netos de Francisco Ayrá são a pedra de toque para abordar a pulsão de vida presente nas experiências das personagens e dos rituais cotidianos da narrativa.",https://www.travessa.com.br/os-nove-pentes-d-africa-1-ed-2009/artigo/776e6ddf-e644-457b-911f-f0fe22674604
Palmares de zumbi,NA,9788582865033,NA,Português,Brochura,"14 x 21 x 1,4",176,NA,2021,2019,1ª,NA,NA,Leonardo Chalub,Nemo,Juvenil,"VENCEDOR DO PRÊMIO JABUTI 2020 NA CATEGORIA JUVENILBrasil, 1667. O jovem Francisco, capturado quando criança e entregue à Igreja, vive como coroinha em Porto Calvo, sonhando com a liberdade. Ágil e silencioso, explora o vilarejo à noite, pregando peças, vingando os negros mortos no tronco e aterrorizando feitores e senhores de engenho como um fantasma – ou um nzumbi, em quimbundo, a língua típica de Angola.Quando surge uma oportunidade de fuga, Francisco a aproveita, dando início a sua jornada para se tornar aquele que a história não esqueceria: Zumbi dos Palmares, filho de Angola Janga.Palmares de Zumbi traz uma releitura da saga de um dos maiores heróis negros do Brasil, lançando uma nova luz sobre esse grande homem – guerreiro, capoeirista, rei –, mas também sobre um Palmares que não seria o que foi sem Zumbi. Uma homenagem ao herói, narrada com paixão e reverência à cultura da capoeira e ao líder quilombola.",https://www.travessa.com.br/palmares-de-zumbi-1-ed-2019/artigo/b5b72f0f-5aef-41c7-ad73-fdd34454c549
Pequeno dicionario houaiss da lingua portuguesa com codigo de acesso ao dicionario digital,NA,9788516101473,NA,Português,Brochura,"14 x 21 x 4,3",1118,NA,2015,2015,1ª,NA,NA,Instituto Antonio Houaiss,Moderna,Dicionários,"Integralmente redigido segundo o acordo ortográfico, o novo “Pequeno Dicionário Houaiss da Língua Portuguesa - 2ª Ed. 2015” apresenta as regras de acentuação, hifenização e grafia.",https://www.travessa.com.br/pequeno-dicionario-houaiss-da-lingua-portuguesa-com-codigo-de-acesso-ao-dicionario-digital-1-ed-2015/artigo/e66e5146-81d5-486a-95f4-57e6c0ff1da2
Percy jackson e os olimpianos: o ladrao de raios (ediçao especial),The lightning thief.,9788580575392,NA,Português,Brochura,14 x 21,400,Percy jackson e os olimpianos - vol. 1,2014,2005,1ª,NA,NA,Rick Riordan,Intrínseca,Juvenil,"Os cinco livros da série que se tornou fenômeno mundial, em edição limitada e com design exclusivo: as cinco lombadas dos livros compõem, juntas, uma ilustração especial de John Rocco.Em O ladrão de raios, Percy Jackson, o menino que aos doze anos descobre que é um semideus, filho de Poseidon, precisa impedir uma guerra entre os deuses que destruiria a civilização ocidental, em O Mar de Monstros, ele e os amigos se envolvem em uma perigosa aventura para defender o acampamento dos semideuses, em A maldição do titã, Percy descobre que o Senhor dos Titãs despertou e está disposto a destruir a humanidade, em A batalha do Labirinto, o semideus vai combater o perigoso titã no temido Labirinto de Dédalo e em O último olimpiano, Percy tem que lidar não só com o exército de Cronos, mas também com a chegada de seu décimo sexto aniversário — e, assim, com a profecia que determinará seu destino.",https://www.travessa.com.br/percy-jackson-e-os-olimpianos-o-ladrao-de-raios-edicao-especial/artigo/a4053811-63b2-4dd3-8378-f2ed45121142
Prisioneiros da geografia para jovens leitores: nosso mundo explicado em 12 mapas,Prisoners of geography,9788566642698,NA,Português,Capa dura,"25,2 x 31 x 1,2",80,NA,2020,2019,1ª,NA,Altamente Recomendável FNLIJ - 2021,Tim Marshall,Pequena Zahar,Juvenil,"Versão infantojuvenil ricamente ilustrada do grande sucesso Prisioneiros da geografia.Deslumbrante edição resumida e ilustrada do best-seller internacional Prisioneiros da geografia, esta reveladora introdução aos assuntos do mundo irá inspirar mentes curiosas e jovens leitores em toda parte.Por que a geografia dificulta o desenvolvimento do Brasil? Como os Estados Unidos se tornaram uma superpotência? E por que alguns países são tão ricos enquanto outros são tão pobres?Descubra as respostas para essas e muitas outras perguntas neste livro único e extraordinário. Por meio de incríveis mapas ilustrados, você vai entender como a geografia influenciou a história do mundo. E vai saber, entre outras coisas, por que as escolhas dos líderes mundiais são determinadas por montanhas, rios e mares e por que os povos entram em guerra.",https://www.travessa.com.br/prisioneiros-da-geografia-para-jovens-leitores-nosso-mundo-explicado-em-12-mapas-1-ed-2020/artigo/3a7a506e-017b-4158-9bb7-307bb00f5c00
"Reis, moscas e um gole de astucia: contos de fadas para pensar sobre justiça",NA,9788578482268,NA,Português,Brochura,"16 x 23 x 0,7",120,Contos e contadoras - vol. 3,2018,NA,1ª,NA,NA,"Susana Ventura, Helena Gomes",Biruta,Juvenil,"Ser justo é ser correto? Quem pode dizer se determinado ato é justo ou injusto? E se uma decisão for justa para uma pessoa e injusta para outra?Nos contos de fadas, a justiça marca presença. Às vezes, está concentrada nas mãos de reis e príncipes, que a exercem de acordo com os seus interesses. Em outros momentos, aparece nas atitudes de heróis e heroínas que, a cada passo, devem fazer as próprias escolhas.Será que, em contos tão antigos e variados como os que estão neste livro, a justiça se parece com aquela que conhecemos hoje?",https://www.travessa.com.br/reis-moscas-e-um-gole-de-astucia-contos-de-fadas-para-pensar-sobre-justica-1-ed-2018/artigo/27100b2c-b315-4e96-90ca-6fb42e7564e8
Romeu e julieta,NA,9788573191325,NA,NA,Capa dura,NA,NA,NA,1996,NA,1ª,NA,NA,William Shakespeare,Dimensão,Infantil,Sinopse não disponível.,https://www.travessa.com.br/romeu-e-julieta-1-ed-1996/artigo/69129d62-acb5-408a-a70b-ac7ac49751eb
Romeu e julieta em cordel,NA,9788574922119,NA,Português,Brochura,16 x 23,48,Classicos em cordel,2011,2011,1ª,NA,NA,William Shakespeare,Nova Alexandria,Literatura Estrangeira,"O consagrado repentista Sebastião Marinho recria, neste livro, em versos de cordel, a clássica tragédia escrita por William Shakespeare:Vasculhando alfarrábiosDesbotados na gaveta,Deparei-me com a obraMaior de todo planeta:É a shakespearianaDe Romeu e Julieta.E a Coleção Clássicos em Cordel ganha mais um título de grande beleza poética.",https://www.travessa.com.br/romeu-e-julieta-em-cordel-1-ed-2011/artigo/2100ec48-57ae-4ded-a54c-1ae3786e04d4
Sejamos todos feministas (ediçao de luxo ilustrada),We should all be feminists,9788574068916,NA,Português,Capa dura,"17,5 x 19,7 x 1",88,NA,2021,NA,1ª,NA,NA,Chimamanda Ngozi Adichie,Companhia das Letrinhas,Juvenil,"Nesta edição adaptada para leitores de todas as idades e ricamente ilustrada, Chimamanda Ngozi Adichie convida os jovens a refletir sobre o que significa ser feminista no século XXI. A autora deste livro, Chimamanda Ngozi Adichie, é escritora e feminista. Mas, afinal, o que é ser feminista? Quando ouviu essa palavra pela primeira vez, Chimamanda ainda era criança e morava na Nigéria, país em que nasceu. Desde então, ela pensou muito sobre o termo — e sobre os direitos das mulheres no mundo. Anos mais tarde, ela compartilhou suas reflexões sobre igualdade a todos, homens e mulheres, e você as encontra neste livro. E agora é a sua vez de refletir sobre o assunto também!  Além do texto adaptado para leitores de todas as idades, esta edição ilustrada também contém uma introdução para os jovens e um texto de encerramento para pais, professores e mediadores de leitura. Este livro é indicado para crianças a partir de 10 anos.",https://www.travessa.com.br/sejamos-todos-feministas-edicao-de-luxo-ilustrada/artigo/d00000cc-7956-4973-817d-74464505397a
Sonho de uma noite de verao,NA,9788541810562,NA,Português,Brochura,12 x 19,240,Barco a vapor - serie vermelha,2015,NA,2ª,NA,NA,William Shakespeare,Edições SM,Juvenil,"Esta adaptação romanceada de Sonho de uma noite de verão, comédia de William Shakespeare, que se passa em Atenas, Grécia, durante o reinado de Teseu, é uma excelente porta de entrada para os jovens tomarem contato com a obra deste dramaturgo, tido como o mais influente de todos os tempos.",https://www.travessa.com.br/sonho-de-uma-noite-de-verao-2-ed-2015/artigo/2e198208-1c7b-4f52-b3bf-c68c49bb52dc
Uma bolota molenga e feliz,Big mushy happy lump,9788555340451,NA,Português,Capa dura,"16 x 19,6",130,NA,2017,2017,1ª,NA,NA,Sarah Andersen,Seguinte,HQ e Desenho Animado,"As incríveis tirinhas de Sarah Andersen são para nós, que não economizamos dinheiro na livraria, vivemos à base de café, deixamos tudo para a última hora, somos especialistas em roubar o blusão alheio, não sabemos nos comportar em situações sociais e insistimos em Pensar Demais. Esta segunda coletânea continua exatamente onde a primeira parou: debaixo de uma pilha de cobertas, evitando as responsabilidades do mundo real.Este volume traz tiras que acompanham os altos e baixos da montanha-russa implacável que é o começo da vida adulta, além de ensaios ilustrados sobre experiências pessoais da autora ligadas a ansiedade, carreira, relacionamentos e amor por gatinhos. Tudo isso com o mesmo tom sincero, leve e divertido que já conquistou mais de 2 milhões de fãs no Facebook.",https://www.travessa.com.br/uma-bolota-molenga-e-feliz-1-ed-2017/artigo/3b07df95-4544-47a8-a81e-a637f058546a
Uma noite muito muito estrelada,NA,9788541816380,NA,Português,Brochura,"20,5 x 27 x 1",144,NA,2016,2009,2ª,NA,NA,Jimmy Liao,Edições SM,Infantil,"Naquela época, o futuro não tinha nem nome. Os pai vivam ocupados, o avô havia morrido, tinha poucos amigos na escola.Em meio à existência solitária, uma pergunta insistia no coração da menina: ""Um dia alguém vai olhar para mim?"". Como uma estrela cadente, o amigo veio e se foi. Mas deixou o brilho de uma noite de verão.",https://www.travessa.com.br/uma-noite-muito-muito-estrelada-2-ed-2016/artigo/e010e701-1b20-400a-a25c-7abc9bf3bf22
Uma vez,Once,9788577533640,NA,Português,Brochura,"13,5 x 20,8",160,NA,2017,2017,1ª,NA,NA,Morris Gleitzman,Paz e Terra,Juvenil,"Felix Salinger, um menino judeu que mora na Polônia, adora ler e é ótimo em escrever e contar histórias. E é isso o que ele mais faz enquanto espera, num orfanato católico, o pai e a mãe, que foram cuidar da livraria da família. Uma vez, na fila do jantar, Felix ganhou uma sopa com uma cenoura inteira. Naqueles tempos em que era impossível até mesmo ter pão fresquinho no café da manhã, uma cenoura inteira só podia ser um sinal. A mensagem ficou mais clara quando livros judeus da biblioteca do orfanato foram transformados em uma imensa fogueira. Seus pais e a livraria da família estavam em perigo. O garoto sabia que precisava voltar para casa para ajudá-los.Assim começa a jornada de Felix por um país tomado por soldados nazistas, vizinhos delatores, mas também por pessoas dispostas a ajudar. A incrível imaginação do garoto é sua melhor companhia para compreender a terrível realidade que o cerca.Este é um livro especial, que nos faz testemunhas do horror do Holocausto pelo doce e inocente olhar de uma criança. É uma história delicada, que nos faz pensar sobre intolerância, racismo, abuso de poder, perda e luto. Mas que também afirma o poder da amizade, da perseverança e da literatura para construir um mundo melhor.",https://www.travessa.com.br/uma-vez-1-ed-2017/artigo/410b599c-f691-4e2a-b0a1-622616e57387
Valentes: historias de pessoas refugiadas no brasil,NA,9788555340963,NA,Português,Brochura,"20,2 x 25 x 1,7",288,NA,2020,2020,1ª,NA,NA,"Aryane Cararo, Duda Porto de Souza",Seguinte,Juvenil,"Das mesmas autoras de Extraordinárias, Valentes é uma obra de referência sobre o tema do refúgio no Brasil. A questão dos refugiados tem ganhado holofotes pelo mundo inteiro, mas o preconceito, a xenofobia, as fake news e o medo frequentemente atrapalham a discussão. Para auxiliar na compreensão desse tema tão complexo e combater a desinformação, as jornalistas Aryane Cararo e Duda Porto de Souza reuniram histórias de vida emocionantes, de pessoas de mais de quinze nacionalidades, que vieram para o nosso país pelos mais variados motivos — desde dificuldades financeiras até perseguição baseada em raça, religião, nacionalidade, orientação sexual, identidade de gênero ou opinião política —, todas em busca de um lugar onde pudessem de fato viver. Com uma linguagem acessível, a obra também traça um panorama histórico do refúgio no Brasil e no mundo, apresentando conceitos e dados, e traz infográficos sobre os principais conflitos que geraram esses fluxos migratórios. O resultado é um material humano e sensível, que dá voz a quem precisa ser ouvido e celebra as diferenças que tornam nossa nação tão plural. “A ampla pesquisa e os recortes históricos de Valentes tornam a obra uma referência de informação da causa que nos une: a humanitária.” — Agência da ONU para Refugiados (ACNUR)",https://www.travessa.com.br/valentes-historias-de-pessoas-refugiadas-no-brasil-1-ed-2020/artigo/12929d1c-daf4-49ff-b18e-441aab853b1f
